Id,URL,Question,Keywords,Target knob(s)
hadoop-17,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201311.mbox/%3CCACeqxwTV_zLL6gG=mXFqjotBmVXXCoGdrGPh99Z4C8UtOmHZuQ@mail.gmail.com%3E,"my container just use 200M heap space,how can i resize it",container 200m heap space resize,mapreduce.map.memory.mb;mapreduce.map.java.opts;mapreduce.reduce.memory.mb;mapreduce.reduce.java.opts
hadoop-18,http://mail-archives.apache.org/mod_mbox/hadoop-user/201310.mbox/%3CCAGpGnSJMEH+QXBdaHRrg+Nf9rah1xD_m0QoO7QLkENvirm6_KA@mail.gmail.com%3E,logs are being deleted some how quickly,logs deleted quickly,yarn.nodemanager.log.retain-seconds
hadoop-19,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201110.mbox/%3CCAOF-Kfin7MFnAFLomraoTiViqYrTjBZb1tSc0o9e_Sdy3zprHQ@mail.gmail.com%3E,configure the default timeout of a datanode,default timeout datanode,heartbeat.recheck.interval
hadoop-20,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200804.mbox/%3C4cc657e40804231637i30ea9d5bv9ffe741e98a1453b@mail.gmail.com%3E,shortent the start the namenode and pass safemode phase,shortent start namenode pass safemode phase,dfs.namenode.safemode.extension
hadoop-21,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201012.mbox/%3CAANLkTikVfgjqx7zd+cZOZ0JdcddT0TJQdv9RtYhZHsKC@mail.gmail.com%3E,privilege be given to another user,privilege user,dfs.permissions.supergroup;dfs.permissions
hadoop-22,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201106.mbox/%3C4DEA6801.10209@gmail.com%3E,backing up our namenode data,backing namenode data,dfs.name.dir
hadoop-23,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200909.mbox/%3C77938bc20909290818i14c9645di41275fa010df74a5@mail.gmail.com%3E,After namenode comes online have a timeout of about 30 seconds before it accepts writes,namenode online timeout 30 seconds accepts writes,dfs.safemode.extension
hadoop-24,http://mail-archives.apache.org/mod_mbox/hadoop-mapreduce-user/201210.mbox/%3C1349195676.38555.YahooMailNeo@web125301.mail.ne1.yahoo.com%3E,reduce mapred.map.tasks,reduce mapred.map.tasks,mapred.min.split.size
hadoop-25,http://mail-archives.apache.org/mod_mbox/hadoop-user/201311.mbox/%3CCACp0qUEX1SYbgTDp_dj-k8bko6=fGxB3imCsnfz8V7uy=R8pjg@mail.gmail.com%3E,increase the heap size through command line,increase heap size command line,mapreduce.map.memory.mb;mapreduce.reduce.memory.mb
hadoop-26,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201305.mbox/%3CCAFWc0y0+PLVMV7aig5ZcesWr=huOeDg7P1phv+VzPSkgkb9TPw@mail.gmail.com%3E,set replication factor file,set replication factor file,dfs.replication
